Repo,Category,Link,Stars,Forks,Downloads pepy,"Russia coef, %",Downloads_Russia,Contributors,OSS_Stars_Russia,OSS_Issue_Creators,OSS_PR_Creators,metric,metric_down
Metabase,Visualization,https://github.com/metabase/metabase,37422,4970,,,,412,335,22,5,"4,566437492",#NUM!
SuperSet,Visualization,,60682,13154,3495091,,,1126,413,29,9,"5,032590559",#NUM!
DataLens,Visualization,https://github.com/datalens-tech/datalens,1264,50,,,,19,198,4,1,"2,898725182",#NUM!
Matplotlib,Visualization,,,,1761880350,,,,157,21,9,"4,472361457",#NUM!
Plotly,Visualization,https://github.com/plotly/plotly.py,,,473063085,,,,124,12,2,"3,473632927",#NUM!
LangChain,MLops,https://github.com/langchain-ai/langchain,,,95784148,"0,17","162833,0516",,295,8,9,"4,327154512","9,538897074"
Kubeflow,MLops,https://github.com/kubeflow/kubeflow,,,133576083,"0,01","13357,6083",,66,6,2,"2,898725182","7,024453886"
MLflow,MLops,https://github.com/mlflow/mlflow,,,552960235,"0,17","940032,3995",,116,10,3,"3,541579244","9,514722066"
Wandb,MLops,https://github.com/wandb/wandb,,,184428468,"0,1","184428,468",,36,12,0,#NUM!,#NUM!
GigaChain,MLops,https://github.com/ai-forever/gigachain,,,66454,"31,57","20979,5278",,75,3,3,"2,829303773","7,151099482"
CatBoost,ML,,7914,1169,111543700,"0,9","1003893,3",373,551,80,28,"6,091399617","12,09308717"
LightAutoML,ML,,1089,48,189987,"6,72","12767,1264",12,132,3,4,"3,199755177","7,305848335"
PyTorch,ML,,80525,21652,513515789,"0,39","2002711,577",3399,420,91,21,"5,904509977","12,20612839"
Scikit-Learn,ML,,58981,25178,1846585000,"0,46",8494291,2890,366,36,23,"5,481511422","12,41063856"
Tensorflow,ML,,184231,74084,834923600,"0,27","2254293,72",3573,879,97,26,"6,345733957","12,69874446"
Numpy,Math,,27149,9669,7163189000,"0,87","62319744,3",1640,198,34,10,"4,828144107","12,62276977"
Optuna,Math,,10231,992,69001830,"0,6","414010,98",242,95,9,1,"2,931966115","8,548977974"
SciPy,Math,,,,2681269123,"0,92","24667675,93",,110,26,12,"4,535547279","11,92767551"
Theano,Math,https://github.com/Theano/Theano,,,31388134,"0,33","103580,8422",,71,6,8,"3,532499586","8,547779024"
Statsmodels,Math,https://github.com/statsmodels/statsmodels,,,469958847,"0,22","1033909,463",,70,8,1,"2,748188027","8,762670537"
YTsaurus,Infra,,1800,120,,,,141,296,8,9,"4,328624207",#NUM!
Spark,Infra,,38939,28115,29650195,,,2103,210,9,11,"4,317854489",#NUM!
Pandas,Infra,https://github.com/pandas-dev/pandas,,,5405564814,,,,348,41,18,"5,409635606",#NUM!
YaFSDP,Infra,https://github.com/yandex/YaFSDP,,,,,,,87,0,0,#NUM!,#NUM!
Caffe,Infra,https://github.com/BVLC/caffe,,,,,,,194,15,5,"4,162862993",#NUM!
Odyssey,DB,,3132,157,,,,55,241,9,12,"4,415440798",#NUM!
Tarantool,DB,,3361,378,,,,157,366,101,42,"6,19105175",#NUM!
Postgres,DB,,15306,4446,,,,56,301,3,3,"3,432809005",#NUM!
ClickHouse,DB,,35595,6655,,,,1522,1000,236,143,"7,52824804",#NUM!
YDB,DB,,,,,,,,549,26,41,"5,767329549",#NUM!
